map,actual_layout,visual_family,implementation,primary_tileset,secondary_tileset
ArtisanCave_1F,LAYOUT_ARTISAN_CAVE_1F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Cave,gTileset_General,gTileset_Cave
CinnabarIsland_PokemonCenter_2F_Frlg,LAYOUT_POKEMON_CENTER_2F_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_PokemonCenterFrlg,gTileset_BuildingFrlg,gTileset_PokemonCenterFrlg
CinnabarIsland_hns,LAYOUT_CINNABAR_ISLAND_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_Lavaridge_Hns,gTileset_Kanto_General_Hns,gTileset_Lavaridge_Hns
DarkCave_SouthSide_hns,LAYOUT_DARK_CAVE_SOUTH_SIDE_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_Cave_Default_Hns,gTileset_Johto_General_Hns,gTileset_Cave_Default_Hns
EcruteakCity_hns,LAYOUT_ECRUTEAK_CITY_HNS,Johto HNS,hns layout; gTileset_Johto_NorthWest_Hns + gTileset_Ecruteak_City_Hns,gTileset_Johto_NorthWest_Hns,gTileset_Ecruteak_City_Hns
FortreeCity,LAYOUT_FORTREE_CITY,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasFortree,gTileset_HoennOrasGeneral,gTileset_HoennOrasFortree
FortreeCity_DecorationShop,LAYOUT_FORTREE_CITY_DECORATION_SHOP,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
FortreeCity_Gym,LAYOUT_FORTREE_CITY_GYM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_FortreeGym,gTileset_Building,gTileset_FortreeGym
FortreeCity_House1,LAYOUT_FORTREE_CITY_HOUSE1,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
FortreeCity_House2,LAYOUT_FORTREE_CITY_HOUSE2,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
FortreeCity_House3,LAYOUT_FORTREE_CITY_HOUSE1,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
FortreeCity_House4,LAYOUT_FORTREE_CITY_HOUSE2,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
FortreeCity_House5,LAYOUT_FORTREE_CITY_HOUSE1,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
FortreeCity_Mart,LAYOUT_MART,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Shop,gTileset_Building,gTileset_Shop
FortreeCity_PokemonCenter_1F,LAYOUT_POKEMON_CENTER_1F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_PokemonCenter,gTileset_Building,gTileset_PokemonCenter
FortreeCity_PokemonCenter_2F,LAYOUT_POKEMON_CENTER_2F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_PokemonCenter,gTileset_Building,gTileset_PokemonCenter
Gate_AzaleaTown_IlexForest_hns,LAYOUT_GATE_AZALEA_TOWN_ILEX_FOREST_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_Gate_Standard_Hns,gTileset_Johto_Building_Hns,gTileset_Gate_Standard_Hns
Gate_GoldenrodCity_Route35_hns,LAYOUT_GATE_GOLDENROD_CITY_ROUTE35_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_Gate_Standard_Hns,gTileset_Johto_Building_Hns,gTileset_Gate_Standard_Hns
Gate_Route29_Route46_hns,LAYOUT_GATE_ROUTE29_ROUTE46_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_Gate_Standard_Hns,gTileset_Johto_Building_Hns,gTileset_Gate_Standard_Hns
Gate_SaffronCity_Route5_hns,LAYOUT_GATE_SAFFRON_CITY_ROUTE5_HNS,HNS shared,hns layout; gTileset_Kanto_Building_Hns + gTileset_Gate_Standard_Hns,gTileset_Kanto_Building_Hns,gTileset_Gate_Standard_Hns
Gate_SaffronCity_Route6_hns,LAYOUT_GATE_SAFFRON_CITY_ROUTE6_HNS,HNS shared,hns layout; gTileset_Kanto_Building_Hns + gTileset_Gate_Standard_Hns,gTileset_Kanto_Building_Hns,gTileset_Gate_Standard_Hns
GoldenrodCity_BillsHouse_hns,LAYOUT_GOLDENROD_CITY_BILLS_HOUSE_HNS,Johto HNS,hns layout; gTileset_Johto_Building_Hns + gTileset_House_Lab_Hns,gTileset_Johto_Building_Hns,gTileset_House_Lab_Hns
GoldenrodCity_hns,LAYOUT_GOLDENROD_CITY_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_Goldenrod_Hns,gTileset_Johto_General_Hns,gTileset_Goldenrod_Hns
House_GenericA_hns,LAYOUT_HOUSE_GENERIC_A_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_House_Lab_Hns,gTileset_Johto_Building_Hns,gTileset_House_Lab_Hns
House_GenericB_hns,LAYOUT_HOUSE_GENERIC_B_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_House_Lab_Hns,gTileset_Johto_Building_Hns,gTileset_House_Lab_Hns
IlexForest_hns,LAYOUT_ILEX_FOREST_HNS,Johto HNS,hns layout; gTileset_Johto_South_Hns + gTileset_IlexForest_Hns,gTileset_Johto_South_Hns,gTileset_IlexForest_Hns
IndigoPlateau_PokemonCenter_hns,LAYOUT_INDIGO_PLATEAU_POKEMON_CENTER_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_PokemonCenter_White_Hns,gTileset_Johto_Building_Hns,gTileset_PokemonCenter_White_Hns
IndigoPlateau_hns,LAYOUT_INDIGO_PLATEAU_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_IndigoPlateau_Hns,gTileset_Kanto_General_Hns,gTileset_IndigoPlateau_Hns
LavenderTown_House1_Frlg,LAYOUT_HOUSE5_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding1,gTileset_BuildingFrlg,gTileset_GenericBuilding1
LavenderTown_House2_Frlg,LAYOUT_HOUSE5_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding1,gTileset_BuildingFrlg,gTileset_GenericBuilding1
LavenderTown_Mart_Frlg,LAYOUT_MART_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_Mart,gTileset_BuildingFrlg,gTileset_Mart
LavenderTown_PokemonCenter_1F_Frlg,LAYOUT_POKEMON_CENTER_1F_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_PokemonCenterFrlg,gTileset_BuildingFrlg,gTileset_PokemonCenterFrlg
LavenderTown_PokemonCenter_2F_Frlg,LAYOUT_POKEMON_CENTER_1F_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_PokemonCenterFrlg,gTileset_BuildingFrlg,gTileset_PokemonCenterFrlg
LavenderTown_hns,LAYOUT_LAVENDER_TOWN_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_LavenderTown_Hns,gTileset_Kanto_General_Hns,gTileset_LavenderTown_Hns
Mart_Johto_hns,LAYOUT_MART_JOHTO_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_JohtoMart_Hns,gTileset_Johto_Building_Hns,gTileset_JohtoMart_Hns
Mart_Kanto_hns,LAYOUT_MART_KANTO_HNS,HNS shared,hns layout; gTileset_Kanto_Building_Hns + gTileset_KantoMart_Hns,gTileset_Kanto_Building_Hns,gTileset_KantoMart_Hns
MeteorFalls_1F_1R,LAYOUT_METEOR_FALLS_1F_1R,Hoenn Emerald,emerald layout; gTileset_General + gTileset_MeteorFalls,gTileset_General,gTileset_MeteorFalls
MeteorFalls_1F_2R,LAYOUT_METEOR_FALLS_1F_2R,Hoenn Emerald,emerald layout; gTileset_General + gTileset_MeteorFalls,gTileset_General,gTileset_MeteorFalls
MeteorFalls_B1F_1R,LAYOUT_METEOR_FALLS_B1F_1R,Hoenn Emerald,emerald layout; gTileset_General + gTileset_MeteorFalls,gTileset_General,gTileset_MeteorFalls
MeteorFalls_B1F_2R,LAYOUT_METEOR_FALLS_B1F_2R,Hoenn Emerald,emerald layout; gTileset_General + gTileset_MeteorFalls,gTileset_General,gTileset_MeteorFalls
MeteorFalls_StevensCave,LAYOUT_METEOR_FALLS_STEVENS_CAVE,Hoenn Emerald,emerald layout; gTileset_General + gTileset_MeteorFalls,gTileset_General,gTileset_MeteorFalls
MossdeepCity,LAYOUT_MOSSDEEP_CITY,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasMossdeep,gTileset_HoennOrasGeneral,gTileset_HoennOrasMossdeep
MossdeepCity_GameCorner_1F,LAYOUT_MOSSDEEP_CITY_GAME_CORNER_1F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_MossdeepGameCorner,gTileset_Building,gTileset_MossdeepGameCorner
MossdeepCity_GameCorner_B1F,LAYOUT_MOSSDEEP_CITY_GAME_CORNER_B1F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
MossdeepCity_Gym,LAYOUT_MOSSDEEP_CITY_GYM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_MossdeepGym,gTileset_Building,gTileset_MossdeepGym
MossdeepCity_House1,LAYOUT_HOUSE2,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
MossdeepCity_House2,LAYOUT_HOUSE1,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
MossdeepCity_House3,LAYOUT_HOUSE2,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
MossdeepCity_House4,LAYOUT_HOUSE_WITH_BED,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
MossdeepCity_Mart,LAYOUT_MART,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Shop,gTileset_Building,gTileset_Shop
MossdeepCity_PokemonCenter_1F,LAYOUT_POKEMON_CENTER_1F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_PokemonCenter,gTileset_Building,gTileset_PokemonCenter
MossdeepCity_PokemonCenter_2F,LAYOUT_POKEMON_CENTER_2F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_PokemonCenter,gTileset_Building,gTileset_PokemonCenter
MossdeepCity_SpaceCenter_1F,LAYOUT_MOSSDEEP_CITY_SPACE_CENTER_1F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Facility,gTileset_General,gTileset_Facility
MossdeepCity_SpaceCenter_2F,LAYOUT_MOSSDEEP_CITY_SPACE_CENTER_2F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Facility,gTileset_General,gTileset_Facility
MossdeepCity_StevensHouse,LAYOUT_MOSSDEEP_CITY_STEVENS_HOUSE,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
MtMoon_Cave_hns,LAYOUT_MT_MOON_CAVE_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_Cave_MtMoon_Hns,gTileset_Johto_General_Hns,gTileset_Cave_MtMoon_Hns
NationalPark_Normal_hns,LAYOUT_NATIONAL_PARK_NORMAL_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_NationalPark_Hns,gTileset_Johto_General_Hns,gTileset_NationalPark_Hns
NewMauville_Entrance,LAYOUT_NEW_MAUVILLE_ENTRANCE,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Facility,gTileset_General,gTileset_Facility
NewMauville_Inside,LAYOUT_NEW_MAUVILLE_INSIDE,Hoenn Emerald,emerald layout; gTileset_General + gTileset_BikeShop,gTileset_General,gTileset_BikeShop
OldaleTown,LAYOUT_OLDALE_TOWN,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasPetalburg,gTileset_HoennOrasGeneral,gTileset_HoennOrasPetalburg
OldaleTown_House1,LAYOUT_HOUSE1,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
OldaleTown_House2,LAYOUT_HOUSE2,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
OldaleTown_Mart,LAYOUT_MART,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Shop,gTileset_Building,gTileset_Shop
OldaleTown_PokemonCenter_1F,LAYOUT_POKEMON_CENTER_1F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_PokemonCenter,gTileset_Building,gTileset_PokemonCenter
OldaleTown_PokemonCenter_2F,LAYOUT_POKEMON_CENTER_2F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_PokemonCenter,gTileset_Building,gTileset_PokemonCenter
PalletTown_Frlg,LAYOUT_PALLET_TOWN,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_PalletTown,gTileset_General_Frlg,gTileset_PalletTown
PalletTown_PlayersHouse_1F_Frlg,LAYOUT_PALLET_TOWN_PLAYERS_HOUSE_1F_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding1,gTileset_BuildingFrlg,gTileset_GenericBuilding1
PalletTown_PlayersHouse_2F_Frlg,LAYOUT_PALLET_TOWN_PLAYERS_HOUSE_2F_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding1,gTileset_BuildingFrlg,gTileset_GenericBuilding1
PalletTown_ProfessorOaksLab_Frlg,LAYOUT_PALLET_TOWN_PROFESSOR_OAKS_LAB,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_Lab_Frlg,gTileset_BuildingFrlg,gTileset_Lab_Frlg
PalletTown_RivalsHouse_Frlg,LAYOUT_PALLET_TOWN_RIVALS_HOUSE,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding2,gTileset_BuildingFrlg,gTileset_GenericBuilding2
PlasticOx_BillRoom,LAYOUT_EVER_GRANDE_CITY_CHAMPIONS_ROOM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_EliteFour,gTileset_Building,gTileset_EliteFour
PlasticOx_BlaineGym,LAYOUT_RUSTBORO_CITY_GYM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_RustboroGym,gTileset_Building,gTileset_RustboroGym
PlasticOx_BlueRoom,LAYOUT_EVER_GRANDE_CITY_DRAKES_ROOM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_EliteFour,gTileset_Building,gTileset_EliteFour
PlasticOx_BrunoGym,LAYOUT_RUSTBORO_CITY_GYM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_RustboroGym,gTileset_Building,gTileset_RustboroGym
PlasticOx_BurnedTower,LAYOUT_MT_PYRE_1F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Facility,gTileset_General,gTileset_Facility
PlasticOx_ClairGym,LAYOUT_RUSTBORO_CITY_GYM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_RustboroGym,gTileset_Building,gTileset_RustboroGym
PlasticOx_DanceTheater,LAYOUT_RUSTBORO_CITY_GYM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_RustboroGym,gTileset_Building,gTileset_RustboroGym
PlasticOx_FujiHouse,LAYOUT_HOUSE_GENERIC_A_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_House_Lab_Hns,gTileset_Johto_Building_Hns,gTileset_House_Lab_Hns
PlasticOx_Harbor,LAYOUT_HARBOR,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Facility,gTileset_General,gTileset_Facility
PlasticOx_LeagueLanceRoom,LAYOUT_EVER_GRANDE_CITY_GLACIAS_ROOM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_EliteFour,gTileset_Building,gTileset_EliteFour
PlasticOx_Mansion,LAYOUT_RUSTBORO_CITY_DEVON_CORP_2F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Facility,gTileset_General,gTileset_Facility
PlasticOx_MortyGym,LAYOUT_RUSTBORO_CITY_GYM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_RustboroGym,gTileset_Building,gTileset_RustboroGym
PlasticOx_PokemonTower,LAYOUT_MT_PYRE_2F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Facility,gTileset_General,gTileset_Facility
PlasticOx_Route20East,LAYOUT_PLASTIC_OX_ROUTE20_EAST,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_CinnabarIsland,gTileset_General_Frlg,gTileset_CinnabarIsland
PlasticOx_Route20West,LAYOUT_PLASTIC_OX_ROUTE20_WEST,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_CinnabarIsland,gTileset_General_Frlg,gTileset_CinnabarIsland
PlasticOx_Silph,LAYOUT_MOSSDEEP_CITY_SPACE_CENTER_1F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Facility,gTileset_General,gTileset_Facility
PlasticOx_StevenRoom,LAYOUT_EVER_GRANDE_CITY_PHOEBES_ROOM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_EliteFour,gTileset_Building,gTileset_EliteFour
PlasticOx_VictoryRoad,LAYOUT_GRANITE_CAVE_1F,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasCave,gTileset_HoennOrasGeneral,gTileset_HoennOrasCave
PlasticOx_WallaceRoom,LAYOUT_EVER_GRANDE_CITY_SIDNEYS_ROOM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_EliteFour,gTileset_Building,gTileset_EliteFour
PlasticOx_WhirlIslands,LAYOUT_GRANITE_CAVE_B1F,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasCave,gTileset_HoennOrasGeneral,gTileset_HoennOrasCave
PlasticOx_WhitneyGym,LAYOUT_RUSTBORO_CITY_GYM,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_RustboroGym,gTileset_Building,gTileset_RustboroGym
PokemonCenter_Johto_hns,LAYOUT_POKEMON_CENTER_JOHTO_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_Kanto_PokemonCenter_Hns,gTileset_Johto_Building_Hns,gTileset_Kanto_PokemonCenter_Hns
PokemonCenter_Kanto_hns,LAYOUT_POKEMON_CENTER_KANTO_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_Kanto_PokemonCenter_Hns,gTileset_Johto_Building_Hns,gTileset_Kanto_PokemonCenter_Hns
Route101,LAYOUT_ROUTE101,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasPetalburg,gTileset_HoennOrasGeneral,gTileset_HoennOrasPetalburg
Route103,LAYOUT_ROUTE103,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasPetalburg,gTileset_HoennOrasGeneral,gTileset_HoennOrasPetalburg
Route110,LAYOUT_ROUTE110,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasMauville,gTileset_HoennOrasGeneral,gTileset_HoennOrasMauville
Route110_SeasideCyclingRoadNorthEntrance,LAYOUT_ROUTE110_SEASIDE_CYCLING_ROAD_ENTRANCE,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Shop,gTileset_Building,gTileset_Shop
Route110_SeasideCyclingRoadSouthEntrance,LAYOUT_ROUTE110_SEASIDE_CYCLING_ROAD_ENTRANCE,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Shop,gTileset_Building,gTileset_Shop
Route110_TrickHouseCorridor,LAYOUT_ROUTE110_TRICK_HOUSE_CORRIDOR,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
Route110_TrickHouseEnd,LAYOUT_ROUTE110_TRICK_HOUSE_END,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
Route110_TrickHouseEntrance,LAYOUT_ROUTE110_TRICK_HOUSE_ENTRANCE,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
Route110_TrickHousePuzzle1,LAYOUT_ROUTE110_TRICK_HOUSE_PUZZLE1,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_TrickHousePuzzle,gTileset_Building,gTileset_TrickHousePuzzle
Route115,LAYOUT_ROUTE115,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasFallarbor,gTileset_HoennOrasGeneral,gTileset_HoennOrasFallarbor
Route119,LAYOUT_ROUTE119,Hoenn ORAS,emerald layout; gTileset_HoennOrasGeneral + gTileset_HoennOrasFortree,gTileset_HoennOrasGeneral,gTileset_HoennOrasFortree
Route119_House,LAYOUT_HOUSE1,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_GenericBuilding,gTileset_Building,gTileset_GenericBuilding
Route119_WeatherInstitute_1F,LAYOUT_ROUTE119_WEATHER_INSTITUTE_1F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Lab,gTileset_Building,gTileset_Lab
Route119_WeatherInstitute_2F,LAYOUT_ROUTE119_WEATHER_INSTITUTE_2F,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Lab,gTileset_Building,gTileset_Lab
Route12_hns,LAYOUT_ROUTE12_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_Route40_Hns,gTileset_Kanto_General_Hns,gTileset_Route40_Hns
Route14_hns,LAYOUT_ROUTE14_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_Fuchsia_Hns,gTileset_Kanto_General_Hns,gTileset_Fuchsia_Hns
Route16_hns,LAYOUT_ROUTE16_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_CeladonCity_Hns,gTileset_Kanto_General_Hns,gTileset_CeladonCity_Hns
Route19_Frlg,LAYOUT_ROUTE19,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_FuchsiaCity,gTileset_General_Frlg,gTileset_FuchsiaCity
Route21_hns,LAYOUT_ROUTE21_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_PalletTown_Hns,gTileset_Kanto_General_Hns,gTileset_PalletTown_Hns
Route24_hns,LAYOUT_ROUTE24_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_CeruleanCity_Hns,gTileset_Kanto_General_Hns,gTileset_CeruleanCity_Hns
Route25_BillsHouse_hns,LAYOUT_ROUTE25_BILLS_HOUSE_HNS,HNS shared,hns layout; gTileset_Johto_Building_Hns + gTileset_SeaCottage_Hns,gTileset_Johto_Building_Hns,gTileset_SeaCottage_Hns
Route25_hns,LAYOUT_ROUTE25_HNS,Kanto HNS,hns layout; gTileset_Kanto_General_Hns + gTileset_CeruleanCity_Hns,gTileset_Kanto_General_Hns,gTileset_CeruleanCity_Hns
Route29_hns,LAYOUT_ROUTE29_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_NewBarkTown_Hns,gTileset_Johto_General_Hns,gTileset_NewBarkTown_Hns
Route2_EastBuilding_Frlg,LAYOUT_ROUTE2_ENTRANCE,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding2,gTileset_BuildingFrlg,gTileset_GenericBuilding2
Route2_Frlg,LAYOUT_ROUTE2,Kanto FRLG,frlg layout; gTileset_General_Frlg + gTileset_ViridianCity,gTileset_General_Frlg,gTileset_ViridianCity
Route2_House_Frlg,LAYOUT_HOUSE2_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding2,gTileset_BuildingFrlg,gTileset_GenericBuilding2
Route2_ViridianForest_NorthEntrance_Frlg,LAYOUT_ROUTE2_ENTRANCE,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_GenericBuilding2,gTileset_BuildingFrlg,gTileset_GenericBuilding2
